account_cluster_id,mse_score
1.0,12.890564955534913
3.0,4.605651115476203
4.0,10.472724597663126
5.0,11.290595947511434
7.0,11.792299243183972
8.0,32.159277059862625
10.0,5.954187769784174
11.0,8.7665018906018
12.0,10.54167321428571
13.0,9.679570604461574
14.0,3.4705875000000006
21.0,10.104462972315707
22.0,8.717382184722796
23.0,6.4901211205120815
24.0,3.7154221715856477
27.0,4.857275
28.0,11.675734435495844
29.0,9.53367290826518
30.0,13.353928301886791
31.0,8.517104437277496
33.0,12.298867807812464
34.0,5.0853564858217695
35.0,3.740291304347827
